     t      mass       XCG       Ixx       Iyy         p    TF_sea TF_vacuum     dm/dt
     s        kg         m    kg-m^2    kg-m^2  kgf/cm^2       kgf       kgf    kg/sec
  2.47    538.30      2.60     10.76    676.80    191.79  11465.14  11736.15     44.11
  2.48    537.85      2.59     10.76    676.39    191.98  11476.76  11747.82     44.16
  2.49    537.40      2.59     10.75    675.98    192.16  11488.38  11759.48     44.20
  2.50    536.94      2.59     10.74    675.57    192.35  11500.00  11771.15     44.25
  2.51    536.49      2.59     10.74    675.16    192.53  11511.62  11782.81     44.29
  2.52    536.04      2.59     10.73    674.74    192.72  11523.24  11794.48     44.34
  2.53    535.58      2.59     10.72    674.33    192.90  11534.86  11806.14     44.38
  2.54    535.13      2.59     10.72    673.92    193.09  11546.48  11817.81     44.43
  2.55    534.67      2.59     10.71    673.50    193.27  11558.10  11829.47     44.47
  2.56    534.21      2.59     10.70    673.09    193.46  11569.72  11841.14     44.52
  2.57    533.76      2.59     10.70    672.68    193.64  11581.34  11852.80     44.56
  2.58    533.30      2.59     10.69    672.26    193.83  11592.96  11864.47     44.61
  2.59    532.84      2.59     10.68    671.85    194.01  11604.58  11876.13     44.65
  2.60    532.38      2.59     10.67    671.43    194.20  11616.20  11887.80     44.70
  2.61    531.92      2.59     10.67    671.02    194.38  11627.82  11899.46     44.74
  2.62    531.46      2.59     10.66    670.60    194.57  11639.44  11911.13     44.79
  2.63    531.01      2.59     10.65    670.18    194.75  11651.06  11922.79     44.83
  2.64    530.55      2.59     10.65    669.77    194.94  11662.68  11934.46     44.88
  2.65    530.08      2.59     10.64    669.35    195.12  11674.30  11946.12     44.92
  2.66    529.62      2.59     10.63    668.93    195.31  11685.92  11957.79     44.97
  2.67    529.16      2.59     10.63    668.51    195.49  11697.54  11969.45     45.01
  2.68    528.70      2.59     10.62    668.09    195.68  11709.16  11981.12     45.06
  2.69    528.24      2.59     10.61    667.67    195.86  11720.78  11992.78     45.10
  2.70    527.77      2.58     10.60    667.25    196.05  11732.40  12004.45     45.15
  2.71    527.31      2.58     10.60    666.83    196.23  11744.02  12016.11     45.19
  2.72    526.85      2.58     10.59    666.41    196.42  11755.64  12027.78     45.24
  2.73    526.38      2.58     10.58    665.99    196.60  11767.26  12039.44     45.28
  2.74    525.92      2.58     10.58    665.57    196.79  11778.88  12051.11     45.33
  2.75    525.45      2.58     10.57    665.15    196.97  11790.50  12062.77     45.37
  2.76    524.99      2.58     10.56    664.73    197.16  11802.12  12074.44     45.42
  2.77    524.52      2.58     10.55    664.31    197.34  11813.74  12086.10     45.46
  2.78    524.06      2.58     10.55    663.88    197.53  11825.36  12097.77     45.51
  2.79    523.59      2.58     10.54    663.46    197.71  11836.98  12109.43     45.55
  2.80    523.12      2.58     10.53    663.04    197.90  11848.60  12121.10     45.60
  2.81    522.65      2.58     10.53    662.61    198.08  11860.22  12132.76     45.64
  2.82    522.18      2.58     10.52    662.19    198.27  11871.84  12144.43     45.69
  2.83    521.72      2.58     10.51    661.76    198.45  11883.46  12156.09     45.73
  2.84    521.25      2.58     10.50    661.34    198.64  11895.08  12167.76     45.78
  2.85    520.78      2.58     10.50    660.91    198.82  11906.70  12179.42     45.82
  2.86    520.31      2.58     10.49    660.48    199.01  11918.32  12191.09     45.87
  2.87    519.84      2.58     10.48    660.06    199.19  11929.94  12202.75     45.91
  2.88    519.36      2.58     10.48    659.63    199.38  11941.56  12214.42     45.96
  2.89    518.89      2.58     10.47    659.20    199.56  11953.18  12226.08     46.00
  2.90    518.42      2.58     10.46    658.78    199.75  11964.80  12237.75     46.05
  2.91    517.95      2.57     10.45    658.35    199.93  11976.42  12249.41     46.09
  2.92    517.47      2.57     10.45    657.92    200.12  11988.04  12261.08     46.14
  2.93    517.00      2.57     10.44    657.49    200.30  11999.66  12272.74     46.18
  2.94    516.53      2.57     10.43    657.06    200.49  12011.28  12284.41     46.23
  2.95    516.05      2.57     10.42    656.63    200.67  12022.90  12296.07     46.27
  2.96    515.58      2.57     10.42    656.20    200.86  12034.52  12307.74     46.32
  2.97    515.10      2.57     10.41    655.77    201.04  12046.14  12319.40     46.36
  2.98    514.63      2.57     10.40    655.34    201.23  12057.76  12331.07     46.41
  2.99    514.15      2.57     10.40    654.91    201.41  12069.38  12342.73     46.45
  3.00    513.67      2.57     10.39    654.47    201.60  12081.00  12354.40     46.50
  3.01    513.20      2.57     10.38    654.04    200.72  12026.84  12300.19     46.30
  3.02    512.72      2.57     10.37    653.61    199.83  11972.68  12245.97     46.11
  3.03    512.25      2.57     10.37    653.18    198.95  11918.52  12191.76     45.91
  3.04    511.78      2.57     10.36    652.76    198.06  11864.36  12137.54     45.72
  3.05    511.31      2.57     10.35    652.33    197.18  11810.20  12083.33     45.52
  3.06    510.85      2.57     10.35    651.91    196.30  11756.04  12029.12     45.32
  3.07    510.38      2.57     10.34    651.49    195.41  11701.88  11974.90     45.13
  3.08    509.92      2.57     10.33    651.07    194.53  11647.72  11920.69     44.93
  3.09    509.46      2.57     10.32    650.66    193.64  11593.56  11866.47     44.74
  3.10    509.00      2.57     10.32    650.24    192.76  11539.40  11812.26     44.54
  3.11    508.55      2.57     10.31    649.83    191.88  11485.24  11758.05     44.34
  3.12    508.09      2.56     10.30    649.42    190.99  11431.08  11703.83     44.15
  3.13    507.64      2.56     10.30    649.01    190.11  11376.92  11649.62     43.95
  3.14    507.19      2.56     10.29    648.60    189.22  11322.76  11595.40     43.76
  3.15    506.75      2.56     10.28    648.19    188.34  11268.60  11541.19     43.56
  3.16    506.30      2.56     10.28    647.79    187.46  11214.44  11486.98     43.36
  3.17    505.86      2.56     10.27    647.39    186.57  11160.28  11432.76     43.17
  3.18    505.41      2.56     10.26    646.99    185.69  11106.12  11378.55     42.97
  3.19    504.97      2.56     10.26    646.59    184.80  11051.96  11324.33     42.78
  3.20    504.54      2.56     10.25    646.19    183.92  10997.80  11270.12     42.58
  3.21    504.10      2.56     10.24    645.80    183.04  10943.64  11215.91     42.38
  3.22    503.67      2.56     10.24    645.40    182.15  10889.48  11161.69     42.19
  3.23    503.23      2.56     10.23    645.01    181.27  10835.32  11107.48     41.99
  3.24    502.81      2.56     10.22    644.62    180.38  10781.16  11053.26     41.80
  3.25    502.38      2.56     10.22    644.23    179.50  10727.00  10999.05     41.60
  3.26    501.95      2.56     10.21    643.85    178.62  10672.84  10944.84     41.40
  3.27    501.53      2.56     10.20    643.46    177.73  10618.68  10890.62     41.21
  3.28    501.11      2.56     10.20    643.08    176.85  10564.52  10836.41     41.01
  3.29    500.69      2.56     10.19    642.70    175.96  10510.36  10782.19     40.82
  3.30    500.27      2.56     10.18    642.32    175.08  10456.20  10727.98     40.62
  3.31    499.85      2.56     10.18    641.95    174.20  10402.04  10673.77     40.42
  3.32    499.44      2.56     10.17    641.57    173.31  10347.88  10619.55     40.23
  3.33    499.03      2.56     10.16    641.20    172.43  10293.72  10565.34     40.03
  3.34    498.62      2.56     10.16    640.83    171.54  10239.56  10511.12     39.84
  3.35    498.21      2.55     10.15    640.46    170.66  10185.40  10456.91     39.64
  3.36    497.81      2.55     10.15    640.09    169.78  10131.24  10402.70     39.44
  3.37    497.40      2.55     10.14    639.72    168.89  10077.08  10348.48     39.25
  3.38    497.00      2.55     10.13    639.36    168.01  10022.92  10294.27     39.05
  3.39    496.60      2.55     10.13    639.00    167.12   9968.76  10240.05     38.86
  3.40    496.20      2.55     10.12    638.64    166.24   9914.60  10185.84     38.66
  3.41    495.81      2.55     10.12    638.28    165.36   9860.44  10131.63     38.46
  3.42    495.41      2.55     10.11    637.92    164.47   9806.28  10077.41     38.27
  3.43    495.02      2.55     10.10    637.57    163.59   9752.12  10023.20     38.07
  3.44    494.63      2.55     10.10    637.21    162.70   9697.96   9968.98     37.88
  3.45    494.25      2.55     10.09    636.86    161.82   9643.80   9914.77     37.68
